Facility.ID,jurisdiction,State,Name,Address,City,Zipcode,County,County.FIPS,Latitude,Longitude,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Date
888,state,New York,ALTONA CORRECTIONAL FACILITY,555 Devils Den Rd,Altona,12910,Clinton,36019,44.89132118,-73.65994966,4,0,0,0,1/27/2021
526,state,Iowa,ANAMOSA STATE PENITENTIARY,406 N High St,Anamosa,52205,Jones,19105,42.11129071,-91.29127202,868,154,6,0,1/27/2021
1880,county,Texas,ANGELINA COUNTY JAIL,2311 E Lufkin Ave,Lufkin,75902,Angelina,48005,31.3376857,-94.69490315,0,0,0,0,1/27/2021
954,state,North Carolina,ANSON CORRECTIONAL INSTITUTION,552 Prison Camp Rd,Polkton,28135,Anson,37007,34.98898821,-80.18047081,145,0,3,0,1/27/2021
,,Florida,APALACHEE CI,52 WEST UNIT DR,Sneads,32460,Jackson,12063,,,170,59,0,0,12/16/2020
1522,state,Virginia,APPALACHIAN MENS COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,924 Clifton Farm Road,Honaker,24260,Russell,51167,36.99765974,-81.92883065,50,0,0,0,1/27/2021
323,state,Georgia,APPLING INTEGRATED TREATMENT FACILITY,252 West Park Drive,Baxley,31513,Appling,13001,31.8050704,-82.40883899,15,3,0,0,1/27/2021
1881,county,Texas,ARANSAS COUNTY JAIL,301 N Live Oak St,Rockport,78382,Aransas,48007,28.02574503,-97.05402531,0,0,0,0,1/27/2021
174,state,Colorado,ARKANSAS VALLEY CORRECTIONAL FACILITY,12750 Highway 96 At Lane 13,Ordway,81034,Crowley,8025,38.19146827,-103.8421854,943,0,4,0,1/27/2021
175,state,Colorado,ARROWHEAD CORRECTIONAL FACILITY,E. Us Highway 50 And Evans Blvd,Canon City,81212,Fremont,8043,38.43610328,-105.1590956,358,0,1,0,1/27/2021
552,federal,Kentucky,ASHLAND FEDERAL CORRECTIONAL INSTITUTION,KY-716,Ashland,41102,Boyd,21019,,,351,0,6,0,1/27/2021
1491,state,Utah,ATHERTON COMMUNITY TREATMENT CENTER,2588 W 2365 S,West Valley City,84119,,49035,40.7199018,-111.9559385,14,0,0,0,1/27/2021
324,state,Georgia,ATLANTA TRANSITIONAL CENTER,332 Ponce De Leon Ave Ne,Atlanta,30308,Fulton,13121,33.77270217,-84.3762642,9,2,0,0,1/27/2021
325,federal,Georgia,ATLANTA UNITED STATES PENITENTIARY,601 Mcdonough Blvd Se,Atlanta,30315,Fulton,13121,33.71070018,-84.36897923,168,0,2,0,1/27/2021
889,state,New York,ATTICA CORRECTIONAL FACILITY,639 Exchange St,Attica,14011,Wyoming,36121,42.84963649,-78.27130142,220,0,0,0,1/27/2021
82,federal,California,ATWATER UNITED STATES PENITENTIARY,1 Federal Way,Atwater,95301,Merced,6047,,,309,0,0,0,1/27/2021
890,state,New York,AUBURN CORRECTIONAL FACILITY,135 State St,Auburn,13024,Cayuga,36011,42.93458853,-76.57422546,119,0,1,0,1/27/2021
1523,state,Virginia,AUGUSTA CORRECTIONAL CENTER,1821 Estaline Valley Rd,Craigsville,24430,Augusta,51015,38.06163878,-79.36793554,585,0,5,0,1/27/2021
326,state,Georgia,AUGUSTA STATE MEDICAL PRISON,3001 Gordon Hwy,Grovetown,30813,Columbia,13073,33.43287905,-82.18852112,215,104,6,0,1/27/2021
327,state,Georgia,AUGUSTA TRANSITIONAL CENTER,601 Taylor Street,Augusta,30906,Richmond,13245,33.46676876,-81.96605692,9,10,0,0,1/27/2021
328,state,Georgia,AUTRY STATE PRISON,3178 Mount Zion Church Rd,Pelham,31779,Mitchell,13205,31.18946471,-84.14510952,77,16,3,0,1/27/2021
1766,state,Wisconsin,AUXILIARY UNITS,,,,,,44.630907,-89.709392,0,22,0,0,1/27/2021
1274,federal,Texas,AVALON AUSTIN CORECIVIC,3154 East Hwy 71,Del Valle,78617,Travis,48453,,,1,0,1,0,1/27/2021
83,state,California,AVENAL STATE PRISON,1 Kings Way,Avenal,93204,Kings,6031,35.97394934,-120.1231018,3101,511,8,0,1/27/2021
955,state,North Carolina,AVERY MITCHELL CORRECTIONAL INSTITUTION,545 Amity Park Rd,Spruce Pine,28777,Avery,37011,35.93113624,-82.00196607,328,0,0,0,1/27/2021
,,Florida,AVON PARK CI,8100 HIGHWAY 64 EAST,Avon Park,33825,Polk,12105,,,230,65,0,0,12/16/2020
329,state,Georgia,BACON PROBATION DETENTION CENTER,165 East Eastside Industrial Boulevard,Alma,31510,Bacon,13005,31.53308262,-82.44987705,3,13,0,0,1/27/2021
330,state,Georgia,BAINBRIDGE PROBATION SUBSTANCE ABUSE TREATMENT,235 State Hospital Road,Bainbridge,39817,Decatur,13087,30.98252995,-84.63677462,48,21,0,0,1/27/2021
,,Florida,BAKER CI,20706 US HIGHWAY 90 W,Sanderson,32087,Baker,12003,,,568,63,0,0,12/16/2020
332,state,Georgia,BALDWIN STATE PRISON,140 Laying Farm Rd,Hardwick,31034,Baldwin,13009,33.0250608,-83.2213613,31,39,2,0,1/27/2021
599,state,Maryland,BALTIMORE CENTRAL BOOKING INTAKE CENTER,300 E Madison St,Baltimore,21202,Baltimore City,24510,39.2990497,-76.6104617,254,235,0,2,1/27/2021
600,state,Maryland,BALTIMORE CITY CORRECTIONAL CENTER,901 Greenmount Ave,Baltimore,21202,Baltimore City,24510,39.3003053,-76.606507,116,37,0,1,1/27/2021
1207,federal,South Carolina,BANNUM INC RRC GREENVILLE,1605 Easley Bridge Rd,Greenville,29611,Greenville,45045,,,3,0,0,0,1/27/2021
1906,federal,Michigan,BANNUM INC RRC SAGINAW,2209 Norman St,Saginaw,48601,,,43.4439656,-83.9137491,0,0,0,0,1/27/2021
651,state,Michigan,BARAGA CORRECTIONAL FACILITY,13924 Wadaga Rd,Baraga,49908,Baraga,26013,46.76254867,-88.51121638,170,82,1,0,1/27/2021
891,state,New York,BARE HILL CORRECTIONAL FACILITY,181 Brand Rd,Malone,12953,Franklin,36033,44.88036405,-74.32415649,185,0,0,0,1/27/2021
1501,state,Vermont,BARRE PROBATION AND PAROLE,255 North Main Street Suite 6,Barre,5641,Washington,50023,,,0,0,0,0,1/27/2021
1524,state,Virginia,BASKERVILLE CORRECTIONAL CENTER,4150 Hayes Mill Rd,Baskerville,23915,Mecklenburg,51117,36.72149412,-78.30056895,249,0,0,0,1/27/2021
1278,federal,Texas,BASTROP FEDERAL CORRECTIONAL INSTITUTION,1341 State Hwy 95,Bastrop,78602,Bastrop,48021,,,488,0,1,0,1/27/2021
,,Florida,BAY CF,5400 BAYLINE DR,Panama City,32404,Bay,12005,,,356,53,0,0,12/16/2020
836,state,New Jersey,BAYSIDE STATE PRISON,4293 Rte 47,Leesburg,8327,Cumberland,34011,39.24379689,-74.95144898,462,105,0,0,1/27/2021
1280,federal,Texas,BEAUMONT LOW FEDERAL CORRECTIONAL INSTITUTION,5560 Knauth Road,Beaumont,77705,Jefferson,48245,29.96629969,-94.07411953,643,0,1,0,1/27/2021
1281,federal,Texas,BEAUMONT MEDIUM FEDERAL CORRECTIONAL INSTITUTION,5830 Knauth Road,Beaumont,77705,Jefferson,48245,29.97302906,-94.08055831,454,0,0,0,1/27/2021
1282,federal,Texas,BEAUMONT UNITED STATES PENITENTIARY,6200 Knauth Road,Beaumont,77705,Jefferson,48245,29.95952473,-94.07949976,147,0,0,0,1/27/2021
1624,federal,West Virginia,BECKLEY FEDERAL CORRECTIONAL INSTITUTION,1600 Industrial Park Rd,Beaver,25813,Raleigh,54081,,,240,0,0,0,1/27/2021
892,state,New York,BEDFORD HILLS CORRECTIONAL FACILITY,247 Harris Rd,Bedford Hills,10507,Westchester,36119,41.23840338,-73.68078525,81,0,2,0,1/27/2021
46,federal,Arizona,BEHAVIORAL SYSTEMS SOUTHWEST INC RRC PHOENIX,2846 E Roosevelt St,Phoenix,85008,,4013,33.4588091,-112.0198483,3,0,1,0,1/27/2021
85,federal,California,BEHAVIORAL SYSTEMS SOUTHWEST RUBIDOUX,3263 Rubidoux Blvd,Riverside,92509,Riverside,6065,,,12,0,0,0,1/27/2021
1283,state,Texas,BELL CORRECTIONAL FACILITY,4800 E Rancier Ave,Killeen,76543,Bell,48027,31.11423703,-97.67603822,76,19,0,0,1/27/2021
553,state,Kentucky,BELL COUNTY FORESTRY CAMP,560 Correctional Dr,Pineville,40977,Bell,21013,36.6689938,-83.85169233,187,26,0,0,1/27/2021
652,state,Michigan,BELLAMY CREEK CORRECTIONAL FACILITY,1727 W Bluewater Hwy,Ionia,48846,Ionia,26067,42.9779589,-85.1058981,382,85,1,0,1/27/2021
1586,state,Washington,BELLINGHAM WORK RELEASE,1127 N Garden St,Bellingham,98225,Whatcom,53073,48.74607791,-122.4770221,16,0,0,0,1/27/2021
1067,state,Ohio,BELMONT CORRECTIONAL INSTITUTION,68518 Bannock Rd,St Clairsville,43950,Belmont,39013,40.08503109,-80.97659907,129,188,10,0,1/27/2021
1157,state,Pennsylvania,BENNER TOWNSHIP CORRECTIONAL INSTITUTION,301 Institution Drive,Bellefonte,16823,Centre,42027,40.85940192,-77.7778287,213,168,6,0,1/27/2021
1208,federal,South Carolina,BENNETTSVILLE FEDERAL CORRECTIONAL INSTITUTION,696 Muckerman Rd,Bennettsville,29512,Marlboro,45069,34.67225316,-79.71836773,401,0,0,0,1/27/2021
1502,state,Vermont,BENNINGTON PROBATION AND PAROLE,200 Veterans Memorial Dr,Bennington,5201,Bennington,50003,,,0,0,0,0,1/27/2021
176,state,Colorado,BENT COUNTY CORRECTIONAL FACILITY,11560 Road Ff75,Las Animas,81054,Bent,8011,38.06456309,-103.2047922,899,0,2,0,1/27/2021
824,federal,New Hampshire,BERLIN FEDERAL CORRECTIONAL INSTITUTION,1 Success Loop Rd,Berlin,3570,Coos,33007,,,18,0,0,0,1/27/2021
957,state,North Carolina,BERTIE CORRECTIONAL INSTITUTION,218 Cooper Hill Rd,Windsor,27983,Bertie,37015,35.9692523,-76.90859254,80,0,0,0,1/27/2021
1285,state,Texas,BETO UNIT,1385 Fm 3328,Palestine,75803,Anderson,48001,31.75891571,-95.82290174,501,189,0,0,1/27/2021
1286,county,Texas,BEXAR COUNTY JAIL,200 N Comal St,San Antonio,78207,Bexar,48029,29.42809799,-98.50672408,0,0,2,0,1/27/2021
5,state,Alabama,BIBB CORRECTIONAL FACILITY,565 Bibb Lane,Brent,35034,Bibb,1007,32.92242,-87.16458,164,58,3,0,1/27/2021
449,state,Illinois,BIG MUDDY RIVER CORRECTIONAL CENTER,251 North Illinois Highway 37,Ina,62846,Jefferson,17081,38.13064497,-88.90835135,241,89,0,0,1/27/2021
554,federal,Kentucky,BIG SANDY UNITED STATES PENITENTIARY,1197 Airport Rd,Inez,41224,Martin,21159,,,95,0,0,0,1/27/2021
1287,federal,Texas,BIG SPRING FEDERAL CORRECTIONAL INSTITUTION,1900 Simler Dr,Big Spring,79720,Howard,48227,,,768,0,5,0,1/27/2021
1098,state,Oklahoma,BILL JOHNSON CORRECTIONAL CENTER,1856 E Flynn St,Alva,73717,Woods,40151,36.80664536,-98.63233747,58,9,0,0,10/19/2020
6,state,Alabama,BIRMINGHAM COMMUNITY BASED FACILITY,1216 25Th St N,Birmingham,35234,Jefferson,1073,33.53104632,-86.80836181,17,28,0,0,1/27/2021
1587,state,Washington,BISHOP LEWIS WORK RELEASE,703 8Th Ave,Seattle,98104,King,53033,47.60588533,-122.3268566,36,4,0,0,1/27/2021
1662,state,Wisconsin,BLACK RIVER CORRECTIONAL CENTER,W6898 E Staffon Rd,Black River Falls,54615,Jackson,55053,44.35786614,-90.65226505,42,10,0,0,1/27/2021
555,state,Kentucky,BLACKBURN CORRECTIONAL COMPLEX,3111 Spurr Rd,Lexington,40511,Fayette,21067,38.11315935,-84.53720452,215,31,1,0,1/27/2021
,,Florida,BLACKWATER CF,5914 JEFF ATES ROAD,Milton,32583,Santa Rosa,12113,,,152,29,0,0,12/16/2020
1525,state,Virginia,BLAND CORRECTIONAL CENTER,256 Bland Farm Rd,Bland,24315,Bland,51021,37.16856651,-80.88882507,185,0,0,0,1/27/2021
1625,state,West Virginia,BLECKLEY CORRECTIONAL CENTER,111 S Eisenhower Dr,Beckley,25801,Raleigh,54081,,,0,0,0,0,1/27/2021
333,state,Georgia,BLECKLEY PROBATION SUBSTANCE ABUSE TREATMENT CENTER,179 Emergency Rd 105,Cochran,31013,Bleckley,13023,,,35,13,0,0,1/27/2021
1247,state,Tennessee,BLEDSOE COUNTY CORRECTIONAL COMPLEX,Allen P. Deakins Road,Pikeville,37367,Bledsoe,47007,35.61411136,-85.19513945,818,172,1,0,1/27/2021
837,state,New Jersey,BO ROBINSON ASSESSMENT AND TREATMENT,377 Enterprise Ave.,Trenton,8638,Mercer,34021,,,52,0,1,0,1/27/2021
591,state,Maine,BOLDUC CORRECTIONAL FACILITY,516 Cushing Rd,Warren,4864,Knox,23013,44.0676097,-69.21744666,0,0,0,0,1/27/2021
716,state,Mississippi,BOLIVAR COUNTY CORRECTIONAL FACILITY,2792 Hwy 8 W,Cleveland,38732,Bolivar,28011,33.76874715,-90.80462361,2,0,0,0,1/27/2021
743,state,Missouri,BONNE TERRE EASTERN RECEPTION DIAGNOSTICS CORRECTIONAL CENTER,2727 Hwy K,Bonne Terra,63628,St Francois,29187,,,0,0,0,0,1/27/2021
1492,state,Utah,BONNEVILLE COMMUNITY CORRECTIONAL CENTER,1141 S 2475 W,Salt Lake City,84104,,49035,40.744817,-111.954379,12,0,0,0,1/27/2021
744,state,Missouri,BOONVILLE CORRECTIONAL CENTER,1216 E Morgan St,Boonville,65233,Cooper,29053,38.97554219,-92.72922101,0,0,0,0,1/27/2021
629,state,Massachusetts,BOSTON PRERELEASE CENTER,430 Canterbury St,Roslindale,2131,Suffolk,25025,42.29249533,-71.10138368,1,11,0,0,1/27/2021
1962,county,Texas,BOWIE COUNTY PRIVATE JAIL,105 W Front St,Texarkana,75501,Bowie,48037,33.41896584,-94.04530128,0,0,1,0,1/27/2021
745,state,Missouri,BOWLING GREEN NECC,13698 Airport Rd,Bowling Green,63334,Pike,29163,,,0,0,0,0,1/27/2021
1288,state,Texas,BOYD UNIT,200 Spur 113,Teague,75860,Freestone,48161,31.67188005,-96.19910109,208,49,0,0,1/27/2021
495,state,Indiana,BRANCHVILLE CORRECTIONAL FACILITY,21390 Old State Rd 37,Branchville,47514,Perry,18123,38.15137828,-86.59980056,228,63,1,0,1/27/2021
1503,state,Vermont,BRATTLEBORO PROBATION AND PAROLE,41 Spring Tree Rd,Brattleboro,5301,Windham,50025,,,0,0,0,0,1/27/2021
87,federal,California,BRAWLEY RRC,,,,,,,,9,0,1,0,1/27/2021
1882,county,Texas,BRAZORIA COUNTY JAIL,3602 County Rd 45,Angleton,77515,Brazoria,48039,29.24317268,-95.40836733,0,0,0,0,1/27/2021
1883,county,Texas,BRAZOS COUNTY JAIL,1835 Sandy Point Rd,Bryan,77807,Brazos,48041,30.67800201,-96.39467196,0,0,1,0,1/27/2021
201,state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,1106 North Ave,Bridgeport,6604,Fairfield,9001,41.1906143,-73.20106036,329,0,0,0,1/27/2021
1290,state,Texas,BRIDGEPORT UNIT,4000 N 10Th St,Bridgeport,76426,Wise,48497,33.2359027,-97.75820717,82,17,0,0,1/27/2021
630,state,Massachusetts,BRIDGEWATER STATE HOSPITAL,20 Administration Rd,Bridgewater,2324,Plymouth,25023,41.94236268,-70.95533897,33,3,0,0,1/27/2021
1099,state,Oklahoma,BRIDGEWAY INC HALFWAY HOUSE,620 West Grand,Ponca City,74602,Kay,40071,,,1,0,0,0,10/19/2020
1291,state,Texas,BRISCOE UNIT,1459 W State Hwy 85,Dilley,78017,Frio,48163,28.65970767,-99.188931,92,74,0,0,1/27/2021
1209,state,South Carolina,BROAD RIVER CORRECTIONAL INSTITUTION,4460 Broad River Rd,Columbia,29210,Richland,45079,34.07417335,-81.09801637,416,92,9,1,1/27/2021
893,federal,New York,BRONX CCC,2534 Creston Ave,Bronx,10468,Bronx,36005,,,2,0,1,0,1/27/2021
202,state,Connecticut,BROOKLYN CORRECTIONAL INSTITUTION,59 Hartford Rd,Brooklyn,6234,Windham,9015,41.78416388,-71.95426216,157,0,0,0,1/27/2021
894,federal,New York,BROOKLYN HOUSE,275 Atlantic Ave,Brooklyn,11201,Kings,36047,,,9,0,0,0,1/27/2021
895,federal,New York,BROOKLYN METROPOLITAN DETENTION CENTER,80 29Th St,Brooklyn,11232,Kings,36047,40.65990923,-74.00381847,225,0,0,0,1/27/2021
1963,county,Texas,BROOKS COUNTY PRIVATE JAIL,901 County Road 201,Falfurrias,78355,Brooks,48047,27.2482474,-98.12584562,0,0,0,0,1/27/2021
1754,state,North Carolina,BROWN CREEK CORRECTIONAL INSTITUTION,248 Prison Camp Rd,Polkton,28135,Anson,37007,34.988896,-80.1813538,0,0,0,0,1/27/2021
1588,state,Washington,BROWNSTONE WORK RELEASE,223 S Browne St,Spokane,99201,Spokane,53063,47.65381923,-117.4131469,3,1,0,0,1/27/2021
1526,state,Virginia,BRUNSWICK COMMUNITY CORRECTIONS ALTERNATIVE PROGRAM,1147 Planters Rd,Lawrenceville,23868,Brunswick,51025,36.77806,-77.81736,0,0,0,0,1/27/2021
1293,federal,Texas,BRYAN FEDERAL PRISON CAMP,1100 Ursuline Ave,Bryan,77803,Brazos,48041,,,107,0,0,0,1/27/2021
1527,state,Virginia,BUCKINGHAM CORRECTIONAL CENTER,1349 Correctional Center Road,Dillwyn,23936,Buckingham,51029,37.56667478,-78.47432879,644,0,4,0,1/27/2021
177,state,Colorado,BUENA VISTA CORRECTIONAL COMPLEX,5125 Hwy 24 & 285,Buena Vista,81211,Chaffee,8015,38.82210118,-106.1147135,508,0,1,0,1/27/2021
334,state,Georgia,BULLOCH COUNTY CORRECTIONAL INSTITUTION,17301 US-301 N,Statesboro,30458,Bulloch,13031,,,0,0,0,0,1/27/2021
7,state,Alabama,BULLOCK CORRECTIONAL FACILITY,104 Bullock Dr,Union Springs,36089,Bullock,1011,32.14940285,-85.67232013,156,70,4,1,1/27/2021
959,state,North Carolina,BURKE CONFINEMENT IN RESPONSE TO VIOLATION,5150 Western Ave,Morganton,28655,Burke,37023,35.67991917,-81.69067652,0,0,0,0,1/27/2021
1504,state,Vermont,BURLINGTON PROBATION AND PAROLE,50 Cherry St,Burlington,5401,Chittenden,50007,,,0,1,0,0,1/27/2021
335,state,Georgia,BURRUSS CORRECTIONAL TRAINING CENTER,1000 Indian Springs Dr,Forsyth,31029,Monroe,13207,33.05554556,-83.97538536,18,17,1,0,1/27/2021
1907,federal,Kansas,BUTLER COUNTY JAIL RRC EL DORADO,442 S 2nd St,Hamilton,45011,Butler,39017,36.6314032,-94.6574925,1,0,0,0,1/27/2021
960,federal,North Carolina,BUTNER FEDERAL MEDICAL FACILITY,Old N Carolina Hwy 75,Butner,27509,Granville,37077,36.137654,-78.81379317,175,0,1,0,1/27/2021
961,federal,North Carolina,BUTNER LOW FEDERAL CORRECTIONAL INSTITUTION,Old N Carolina Hwy 75,Butner,27509,Granville,37077,36.14403069,-78.79959297,414,0,17,1,1/27/2021
962,federal,North Carolina,BUTNER MEDIUM I FEDERAL CORRECTIONAL INSTITUTION,Old N Carolina Hwy 75,Butner,27509,Granville,37077,36.137654,-78.81379317,183,0,9,0,1/27/2021
963,federal,North Carolina,BUTNER MEDIUM II FEDERAL CORRECTIONAL INSTITUTION,Old N Carolina Hwy 75,Butner,27509,Granville,37077,36.14649812,-78.80600721,340,0,1,0,1/27/2021
1296,state,Texas,BYRD UNIT,21 Fm 247,Huntsville,77320,Walker,48471,30.7373136,-95.5554777,250,51,0,0,1/27/2021
964,state,North Carolina,CALDWELL CORRECTIONAL CENTER,480 Pleasant Hill Rd,Lenoir,28645,Caldwell,37027,35.85543098,-81.52095003,48,0,1,0,1/27/2021
965,state,North Carolina,CALEDONIA CORRECTIONAL INSTITUTION,2787 Caledonia Dr,Tillery,27882,Halifax,37083,36.30154625,-77.45463622,144,0,0,0,1/27/2021
,,Florida,CALHOUN CI,19564 SE INSTITUTION DR,Blountstown,32424,Calhoun,12013,,,195,42,0,0,12/16/2020
336,state,Georgia,CALHOUN STATE PRISON,27823 Main St,Morgan,39866,Calhoun,13037,31.53975718,-84.6166883,58,30,1,1,1/27/2021
88,state,California,CALIFORNIA CITY CORRECTIONAL FACILITY,22844 Virginia Blvd,California City,93505,Kern,6029,35.1532512,-117.8588801,977,215,2,0,1/27/2021
89,state,California,CALIFORNIA CORRECTIONAL CENTER,711-045 Center Road,Susanville,96127,Lassen,6035,40.40195801,-120.5167302,1262,271,0,0,1/27/2021
90,state,California,CALIFORNIA CORRECTIONAL INSTITUTION,24900 Hwy 202,Tehachapi,93561,Kern,6029,35.10991489,-118.5703307,1336,610,4,0,1/27/2021
91,state,California,CALIFORNIA HEALTH CARE FACILITY,7707 Austin Road,Stockton,95215,San Joaquin,6077,37.8947278,-121.1848441,609,607,11,0,1/27/2021
92,state,California,CALIFORNIA INSTITUTION FOR MEN,14901 Central Avenue,Chino,91710,San Bernardino,6071,33.98471223,-117.6823919,1498,570,27,0,1/27/2021
93,state,California,CALIFORNIA INSTITUTION FOR WOMEN,16756 Chino-Corona Road,Corona,92880,San Bernardino,6071,33.94974531,-117.636365,476,339,1,0,1/27/2021
94,state,California,CALIFORNIA MEDICAL FACILITY,1600 California Drive,Vacaville,95696,Solano,6095,38.32851019,-121.9791645,692,330,8,0,1/27/2021
95,state,California,CALIFORNIA MENS COLONY,Colony Drive,San Luis Obispo,93409,San Luis Obispo,6079,35.32457413,-120.6989005,2431,492,5,0,1/27/2021
96,state,California,CALIFORNIA REHABILITATION CENTER,3195 Western Avenue,Norco,92860,Riverside,6065,33.92691794,-117.5759442,1976,472,1,0,1/27/2021
97,state,California,CALIFORNIA STATE PRISON CORCORAN,4001 King Avenue,Corcoran,93212,Kings,6031,36.06081823,-119.549121,973,694,3,0,1/27/2021
98,state,California,CALIFORNIA STATE PRISON LOS ANGELES,44750 60Th Street West,Lancaster,93536,Los Angeles,6037,34.69359649,-118.2276136,1493,581,13,0,1/27/2021
99,state,California,CALIFORNIA STATE PRISON SACRAMENTO,100 Prison Road,Folsom,95671,Sacramento,6067,38.69444411,-121.1539037,281,298,0,0,1/27/2021
100,state,California,CALIFORNIA STATE PRISON SAN QUENTIN,Main Street,San Quentin,94964,Marin,6041,37.94003982,-122.4903665,2238,422,28,0,1/27/2021
101,state,California,CALIFORNIA STATE PRISON SOLANO,2100 Peabody Road,Vacaville,95687,Solano,6095,38.32077652,-121.9752369,1016,221,2,0,1/27/2021
